trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
98,MRNA,2021-07-22,2021-09-07,319.79749999999996,408.47625000000005,697,224013.35178749997,283284.40651875,59271.05473125004,0.2645871518742098,Supertrend down,+26.46%
99,NVDA,2021-09-07,2021-10-05,22.890082683563232,19.900125761032104,12316,283323.82962241856,243864.49912850704,-39459.33049391152,-0.13927289683503985,Supertrend down,-13.93%
100,TEAM,2021-10-19,2021-11-05,416.03749999999997,446.2615548706055,583,243762.61181249996,258869.6340571152,15107.022244615247,0.061974320558377594,Leader rotation,+6.20%
101,NVDA,2021-11-05,2021-12-20,30.26246777534485,27.236737804412844,8515,258973.33767259665,230761.21829255248,-28212.11938004417,-0.10893831632857487,Supertrend down,-10.89%
102,PANW,2022-03-23,2022-03-30,98.36028535842895,102.01931402206421,2300,227359.7996060085,233471.20013949394,6111.40053348543,0.02687986418036914,Leader rotation,+2.69%
103,TSLA,2022-03-30,2022-04-05,364.63263595581054,377.8197459411621,644,235997.53464331967,242099.33680417787,6101.802160858206,0.025855363998104064,Leader rotation,+2.59%
104,DLTR,2022-04-05,2022-05-06,156.56042316436768,160.57754573822024,1544,242937.93983261258,246692.07196671297,3754.132134100393,0.015453050012225411,Supertrend down,+1.55%
105,VRTX,2022-07-21,2022-08-23,286.50448356628414,291.45952743530273,856,246474.0771224029,248241.90870719604,1767.8315847931372,0.0071724848529008955,Leader rotation,+0.72%
106,TMUS,2022-08-23,2022-08-26,144.9414518356323,146.7222713470459,1705,248360.80125665182,248910.6652834797,549.8640268278832,0.0022139726721999153,Leader rotation,+0.22%
107,CEG,2022-08-26,2022-10-21,82.94684785842895,84.48824695587159,2987,249001.0457258929,251104.5616889025,2103.5159630095877,0.008447819794801914,Supertrend down,+0.84%
108,PDD,2022-11-14,2023-01-17,67.75897132873534,94.2737271308899,3688,251144.5616916778,345943.09813042835,94798.53643875054,0.3774660132005234,Leader rotation,+37.75%
109,NFLX,2023-01-17,2023-03-02,33.19077171325684,31.018260669708255,10371,345942.60090537753,320081.92949851655,-25860.671406860987,-0.07475422610334836,Supertrend down,-7.48%
110,MELI,2023-03-02,2023-03-22,1197.9875,1221.1394512939453,264,317850.04349999997,320768.91106589354,2918.867565893568,0.009183159246267447,Leader rotation,+0.92%
111,NVDA,2023-03-22,2023-06-13,26.491061735153195,40.085535821914675,12132,322996.50877573295,483886.1319885115,160889.62321277853,0.4981156725891718,Leader rotation,+49.81%
